nome,descricao,categoria,subcategoria,marca,preco,estoque,sku,aplicacao
Tinta Acrilica Eucatex Verde Agua 18L,"Tinta acrilica de alta qualidade para paredes internas e externas. Cor Verde Agua, acabamento fosco. Rendimento alto.",Tintas,Acrilica,Eucatex,355.06,118,ACR-EUC-VER-18L-199,Paredes Internas e Externas
Tinta Latex Economica Renner Branco Gelo 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Renner,28.51,171,LAT-REN-BRA-36L-0,Paredes Internas
Tinta Latex Economica Lukscolor Bege 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Lukscolor,141.43,63,LAT-LUK-BEG-18L-1,Paredes Internas
Tinta Latex Economica Suvinil Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Suvinil,139.71,131,LAT-SUV-CIN-18L-2,Paredes Internas
Tinta Latex Economica Dacar Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Dacar,32.88,66,LAT-DAC-CIN-36L-3,Paredes Internas
Tinta Latex Economica Suvinil Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Suvinil,8.81,161,LAT-SUV-BRA-900ml-4,Paredes Internas
Tinta Latex Economica Anjo Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Anjo,8.08,31,LAT-ANJ-MAR-900ml-5,Paredes Internas
Tinta Latex Economica Renner Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Renner,145.48,109,LAT-REN-CIN-18L-6,Paredes Internas
Tinta Latex Economica Renner Branco 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Renner,8.76,126,LAT-REN-BRA-900ml-7,Paredes Internas
Tinta Latex Economica Eucatex Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Eucatex,9.51,150,LAT-EUC-BRA-900ml-8,Paredes Internas
Tinta Latex Economica Lukscolor Bege 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Lukscolor,179.81,167,LAT-LUK-BEG-18L-9,Paredes Internas
Tinta Latex Economica Dacar Marfim 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Dacar,44.17,109,LAT-DAC-MAR-36L-10,Paredes Internas
Tinta Latex Economica Sherwin-Williams Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Sherwin-Williams,9.54,152,LAT-SHE-BRA-900ml-11,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,9.83,51,LAT-DAC-BRA-900ml-12,Paredes Internas
Tinta Latex Economica Sherwin-Williams Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Sherwin-Williams,43.76,116,LAT-SHE-BEG-36L-13,Paredes Internas
Tinta Latex Economica Anjo Branco 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Anjo,34.33,122,LAT-ANJ-BRA-36L-14,Paredes Internas
Tinta Latex Economica Suvinil Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Suvinil,137.21,82,LAT-SUV-CIN-18L-15,Paredes Internas
Tinta Latex Economica Renner Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Renner,152.29,131,LAT-REN-CIN-18L-16,Paredes Internas
Tinta Latex Economica Renner Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Renner,35.07,129,LAT-REN-CIN-36L-17,Paredes Internas
Tinta Latex Economica Renner Branco 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Renner,159.63,137,LAT-REN-BRA-18L-18,Paredes Internas
Tinta Latex Economica Coral Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Coral,130.13,41,LAT-COR-CIN-18L-19,Paredes Internas
Tinta Latex Economica Suvinil Branco 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Suvinil,11.15,169,LAT-SUV-BRA-900ml-20,Paredes Internas
Tinta Latex Economica Lukscolor Marfim 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Lukscolor,31.88,46,LAT-LUK-MAR-36L-21,Paredes Internas
Tinta Latex Economica Sherwin-Williams Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Sherwin-Williams,39.62,191,LAT-SHE-CIN-36L-22,Paredes Internas
Tinta Latex Economica Anjo Branco Gelo 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Anjo,151.42,186,LAT-ANJ-BRA-18L-23,Paredes Internas
Tinta Latex Economica Lukscolor Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Lukscolor,8.92,47,LAT-LUK-BEG-900ml-24,Paredes Internas
Tinta Latex Economica Dacar Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Dacar,7.33,126,LAT-DAC-BEG-900ml-25,Paredes Internas
Tinta Latex Economica Eucatex Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Eucatex,168.42,164,LAT-EUC-CIN-18L-26,Paredes Internas
Tinta Latex Economica Sherwin-Williams Marfim 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Sherwin-Williams,31.58,134,LAT-SHE-MAR-36L-27,Paredes Internas
Tinta Latex Economica Dacar Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Dacar,10.53,162,LAT-DAC-MAR-900ml-28,Paredes Internas
Tinta Latex Economica Eucatex Branco 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Eucatex,10.24,34,LAT-EUC-BRA-900ml-29,Paredes Internas
Tinta Latex Economica Sherwin-Williams Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Sherwin-Williams,32.93,125,LAT-SHE-BEG-36L-30,Paredes Internas
Tinta Latex Economica Suvinil Branco 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Suvinil,153.19,35,LAT-SUV-BRA-18L-31,Paredes Internas
Tinta Latex Economica Eucatex Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Eucatex,29.54,42,LAT-EUC-CIN-36L-32,Paredes Internas
Tinta Latex Economica Eucatex Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Eucatex,8.65,136,LAT-EUC-BRA-900ml-33,Paredes Internas
Tinta Latex Economica Renner Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Renner,44.6,98,LAT-REN-CIN-36L-34,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,11.16,70,LAT-DAC-BRA-900ml-35,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,32.02,83,LAT-DAC-BRA-36L-36,Paredes Internas
Tinta Latex Economica Lukscolor Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Lukscolor,30.24,38,LAT-LUK-BEG-36L-37,Paredes Internas
Tinta Latex Economica Dacar Marfim 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Dacar,181.01,153,LAT-DAC-MAR-18L-38,Paredes Internas
Tinta Latex Economica Renner Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Renner,164.34,200,LAT-REN-CIN-18L-39,Paredes Internas
Tinta Latex Economica Eucatex Branco Gelo 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Eucatex,43.06,185,LAT-EUC-BRA-36L-40,Paredes Internas
Tinta Latex Economica Suvinil Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Suvinil,38.61,193,LAT-SUV-CIN-36L-41,Paredes Internas
Tinta Latex Economica Sherwin-Williams Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Sherwin-Williams,43.19,174,LAT-SHE-CIN-36L-42,Paredes Internas
Tinta Latex Economica Suvinil Marfim 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Suvinil,40.8,113,LAT-SUV-MAR-36L-43,Paredes Internas
Tinta Latex Economica Lukscolor Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Lukscolor,40.08,30,LAT-LUK-CIN-36L-44,Paredes Internas
Tinta Latex Economica Sherwin-Williams Branco 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Sherwin-Williams,9.59,149,LAT-SHE-BRA-900ml-45,Paredes Internas
Tinta Latex Economica Coral Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Coral,42.85,80,LAT-COR-BEG-36L-46,Paredes Internas
Tinta Latex Economica Sherwin-Williams Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Sherwin-Williams,7.16,37,LAT-SHE-BEG-900ml-47,Paredes Internas
Tinta Latex Economica Sherwin-Williams Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Sherwin-Williams,11.23,191,LAT-SHE-BRA-900ml-48,Paredes Internas
Tinta Latex Economica Renner Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Renner,41.04,180,LAT-REN-BEG-36L-49,Paredes Internas
Tinta Latex Economica Eucatex Bege 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Eucatex,187.68,95,LAT-EUC-BEG-18L-50,Paredes Internas
Tinta Latex Economica Lukscolor Branco Gelo 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Lukscolor,182.76,46,LAT-LUK-BRA-18L-51,Paredes Internas
Tinta Latex Economica Eucatex Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Eucatex,8.78,78,LAT-EUC-MAR-900ml-52,Paredes Internas
Tinta Latex Economica Suvinil Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Suvinil,10.11,44,LAT-SUV-BRA-900ml-53,Paredes Internas
Tinta Latex Economica Anjo Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Anjo,8.19,93,LAT-ANJ-MAR-900ml-54,Paredes Internas
Tinta Latex Economica Renner Branco 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Renner,40.98,68,LAT-REN-BRA-36L-55,Paredes Internas
Tinta Latex Economica Renner Branco Gelo 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Renner,42.7,86,LAT-REN-BRA-36L-56,Paredes Internas
Tinta Latex Economica Lukscolor Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Lukscolor,8.78,109,LAT-LUK-BEG-900ml-57,Paredes Internas
Tinta Latex Economica Eucatex Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Eucatex,31.48,118,LAT-EUC-BEG-36L-58,Paredes Internas
Tinta Latex Economica Suvinil Branco 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Suvinil,127.53,131,LAT-SUV-BRA-18L-59,Paredes Internas
Tinta Latex Economica Coral Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Coral,9.66,86,LAT-COR-BEG-900ml-60,Paredes Internas
Tinta Latex Economica Sherwin-Williams Cinza Claro 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Sherwin-Williams,7.58,89,LAT-SHE-CIN-900ml-61,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,7.55,64,LAT-DAC-BRA-900ml-62,Paredes Internas
Tinta Latex Economica Renner Branco Gelo 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Renner,36.63,159,LAT-REN-BRA-36L-63,Paredes Internas
Tinta Latex Economica Renner Branco 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Renner,157.64,96,LAT-REN-BRA-18L-64,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,126.54,122,LAT-DAC-BRA-18L-65,Paredes Internas
Tinta Latex Economica Eucatex Bege 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Eucatex,137.03,161,LAT-EUC-BEG-18L-66,Paredes Internas
Tinta Latex Economica Eucatex Marfim 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Eucatex,41.63,60,LAT-EUC-MAR-36L-67,Paredes Internas
Tinta Latex Economica Suvinil Bege 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Suvinil,38.41,71,LAT-SUV-BEG-36L-68,Paredes Internas
Tinta Latex Economica Eucatex Bege 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Bege.,Tintas,Latex,Eucatex,9.1,86,LAT-EUC-BEG-900ml-69,Paredes Internas
Tinta Latex Economica Coral Cinza Claro 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Coral,7.05,72,LAT-COR-CIN-900ml-70,Paredes Internas
Tinta Latex Economica Coral Branco Gelo 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Coral,130.57,115,LAT-COR-BRA-18L-71,Paredes Internas
Tinta Latex Economica Renner Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Renner,9.42,164,LAT-REN-MAR-900ml-72,Paredes Internas
Tinta Latex Economica Dacar Marfim 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Dacar,148.51,140,LAT-DAC-MAR-18L-73,Paredes Internas
Tinta Latex Economica Dacar Branco Gelo 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Dacar,154.29,52,LAT-DAC-BRA-18L-74,Paredes Internas
Tinta Latex Economica Lukscolor Cinza Claro 18L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Lukscolor,186.43,86,LAT-LUK-CIN-18L-75,Paredes Internas
Tinta Latex Economica Renner Branco Gelo 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco Gelo.,Tintas,Latex,Renner,7.24,131,LAT-REN-BRA-900ml-76,Paredes Internas
Tinta Latex Economica Eucatex Cinza Claro 3.6L,Tinta latex economica para ambientes internos. Secagem rapida. Cor Cinza Claro.,Tintas,Latex,Eucatex,43.82,149,LAT-EUC-CIN-36L-77,Paredes Internas
Tinta Latex Economica Coral Marfim 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Marfim.,Tintas,Latex,Coral,8.02,186,LAT-COR-MAR-900ml-78,Paredes Internas
Tinta Latex Economica Sherwin-Williams Branco 900ml,Tinta latex economica para ambientes internos. Secagem rapida. Cor Branco.,Tintas,Latex,Sherwin-Williams,7.73,120,LAT-SHE-BRA-900ml-79,Paredes Internas
Esmalte Sintetico Eucatex Cinza Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento acetinado.",Tintas,Esmalte Sintetico,Eucatex,258.04,21,ESM-EUC-CIN-0,Madeira e Metal
Esmalte Sintetico Eucatex Cinza Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento acetinado.",Tintas,Esmalte Sintetico,Eucatex,254.43,93,ESM-EUC-CIN-1,Madeira e Metal
Esmalte Sintetico Lukscolor Marrom Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,67.74,66,ESM-LUK-MAR-2,Madeira e Metal
Esmalte Sintetico Coral Verde Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Verde, acabamento brilhante.",Tintas,Esmalte Sintetico,Coral,74.82,31,ESM-COR-VER-3,Madeira e Metal
Esmalte Sintetico Eucatex Vermelho Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento acetinado.",Tintas,Esmalte Sintetico,Eucatex,218.57,59,ESM-EUC-VER-4,Madeira e Metal
Esmalte Sintetico Eucatex Vermelho Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,75.06,79,ESM-EUC-VER-5,Madeira e Metal
Esmalte Sintetico Coral Marrom Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento brilhante.",Tintas,Esmalte Sintetico,Coral,56.76,76,ESM-COR-MAR-6,Madeira e Metal
Esmalte Sintetico Eucatex Cinza Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,254.32,26,ESM-EUC-CIN-7,Madeira e Metal
Esmalte Sintetico Coral Amarelo Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento acetinado.",Tintas,Esmalte Sintetico,Coral,265.77,29,ESM-COR-AMA-8,Madeira e Metal
Esmalte Sintetico Eucatex Vermelho Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,55.46,51,ESM-EUC-VER-9,Madeira e Metal
Esmalte Sintetico Suvinil Verde Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Verde, acabamento brilhante.",Tintas,Esmalte Sintetico,Suvinil,75.73,26,ESM-SUV-VER-10,Madeira e Metal
Esmalte Sintetico Suvinil Branco Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento brilhante.",Tintas,Esmalte Sintetico,Suvinil,285.47,23,ESM-SUV-BRA-11,Madeira e Metal
Esmalte Sintetico Lukscolor Verde Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Verde, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,211.8,33,ESM-LUK-VER-12,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Vermelho Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento acetinado.",Tintas,Esmalte Sintetico,Sherwin-Williams,63.47,49,ESM-SHE-VER-13,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Verde Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Verde, acabamento acetinado.",Tintas,Esmalte Sintetico,Sherwin-Williams,56.81,26,ESM-SHE-VER-14,Madeira e Metal
Esmalte Sintetico Suvinil Vermelho Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento acetinado.",Tintas,Esmalte Sintetico,Suvinil,81.86,94,ESM-SUV-VER-15,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Branco Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento brilhante.",Tintas,Esmalte Sintetico,Sherwin-Williams,288.11,94,ESM-SHE-BRA-16,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Verde Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Verde, acabamento acetinado.",Tintas,Esmalte Sintetico,Sherwin-Williams,197.44,67,ESM-SHE-VER-17,Madeira e Metal
Esmalte Sintetico Lukscolor Preto Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Preto, acabamento acetinado.",Tintas,Esmalte Sintetico,Lukscolor,59.26,43,ESM-LUK-PRE-18,Madeira e Metal
Esmalte Sintetico Lukscolor Marrom Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento acetinado.",Tintas,Esmalte Sintetico,Lukscolor,216.52,85,ESM-LUK-MAR-19,Madeira e Metal
Esmalte Sintetico Coral Preto Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Preto, acabamento brilhante.",Tintas,Esmalte Sintetico,Coral,265.92,54,ESM-COR-PRE-20,Madeira e Metal
Esmalte Sintetico Coral Cinza Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento brilhante.",Tintas,Esmalte Sintetico,Coral,70.19,72,ESM-COR-CIN-21,Madeira e Metal
Esmalte Sintetico Suvinil Marrom Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento acetinado.",Tintas,Esmalte Sintetico,Suvinil,69.8,100,ESM-SUV-MAR-22,Madeira e Metal
Esmalte Sintetico Lukscolor Branco Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,279.62,61,ESM-LUK-BRA-23,Madeira e Metal
Esmalte Sintetico Lukscolor Marrom Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento acetinado.",Tintas,Esmalte Sintetico,Lukscolor,67.47,96,ESM-LUK-MAR-24,Madeira e Metal
Esmalte Sintetico Lukscolor Branco Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,83.67,61,ESM-LUK-BRA-25,Madeira e Metal
Esmalte Sintetico Lukscolor Amarelo Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,280.78,70,ESM-LUK-AMA-26,Madeira e Metal
Esmalte Sintetico Eucatex Azul Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Azul, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,68.69,47,ESM-EUC-AZU-27,Madeira e Metal
Esmalte Sintetico Coral Cinza Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento acetinado.",Tintas,Esmalte Sintetico,Coral,60.3,91,ESM-COR-CIN-28,Madeira e Metal
Esmalte Sintetico Eucatex Azul Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Azul, acabamento acetinado.",Tintas,Esmalte Sintetico,Eucatex,245.91,29,ESM-EUC-AZU-29,Madeira e Metal
Esmalte Sintetico Eucatex Marrom Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,280.41,21,ESM-EUC-MAR-30,Madeira e Metal
Esmalte Sintetico Eucatex Marrom Acetinado 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Marrom, acabamento acetinado.",Tintas,Esmalte Sintetico,Eucatex,263.56,86,ESM-EUC-MAR-31,Madeira e Metal
Esmalte Sintetico Suvinil Amarelo Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento brilhante.",Tintas,Esmalte Sintetico,Suvinil,239.16,66,ESM-SUV-AMA-32,Madeira e Metal
Esmalte Sintetico Eucatex Preto Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Preto, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,76.92,93,ESM-EUC-PRE-33,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Preto Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Preto, acabamento brilhante.",Tintas,Esmalte Sintetico,Sherwin-Williams,275.31,75,ESM-SHE-PRE-34,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Cinza Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Cinza, acabamento brilhante.",Tintas,Esmalte Sintetico,Sherwin-Williams,67.59,26,ESM-SHE-CIN-35,Madeira e Metal
Esmalte Sintetico Sherwin-Williams Amarelo Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento brilhante.",Tintas,Esmalte Sintetico,Sherwin-Williams,289.83,99,ESM-SHE-AMA-36,Madeira e Metal
Esmalte Sintetico Suvinil Branco Acetinado 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento acetinado.",Tintas,Esmalte Sintetico,Suvinil,73.92,20,ESM-SUV-BRA-37,Madeira e Metal
Esmalte Sintetico Lukscolor Vermelho Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Vermelho, acabamento brilhante.",Tintas,Esmalte Sintetico,Lukscolor,262.78,52,ESM-LUK-VER-38,Madeira e Metal
Esmalte Sintetico Eucatex Amarelo Brilhante 3.6L,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,270.97,23,ESM-EUC-AMA-39,Madeira e Metal
Esmalte Sintetico Eucatex Branco Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Branco, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,80.31,67,ESM-EUC-BRA-40,Madeira e Metal
Esmalte Sintetico Eucatex Amarelo Brilhante 900ml,"Esmalte sintetico de alta durabilidade para madeiras e metais. Cor Amarelo, acabamento brilhante.",Tintas,Esmalte Sintetico,Eucatex,59.0,77,ESM-EUC-AMA-41,Madeira e Metal
